Date,Clicks,Impressions,CTR,Position
2025-09-28,0,0,,
2025-09-29,0,0,,
2025-09-30,0,2,0%,9
2025-10-01,0,0,,
2025-10-02,0,0,,
2025-10-03,0,0,,
2025-10-04,0,0,,
2025-10-05,0,0,,
2025-10-06,0,0,,
2025-10-07,0,0,,
2025-10-08,0,0,,
2025-10-09,0,0,,
2025-10-10,0,0,,
2025-10-11,0,0,,
2025-10-12,0,0,,
2025-10-13,0,1,0%,230
2025-10-14,0,0,,
2025-10-15,0,0,,
2025-10-16,0,0,,
2025-10-17,0,0,,
2025-10-18,0,0,,
2025-10-19,0,0,,
2025-10-20,0,0,,
2025-10-21,0,0,,
2025-10-22,0,0,,
2025-10-23,0,1,0%,20
2025-10-24,0,0,,
2025-10-25,0,0,,
2025-10-26,0,0,,
2025-10-27,0,0,,
2025-10-28,0,0,,
2025-10-29,0,0,,
2025-10-30,0,0,,
2025-10-31,0,0,,
2025-11-01,0,0,,
2025-11-02,0,1,0%,5
2025-11-03,0,0,,
2025-11-04,0,0,,
2025-11-05,0,0,,
2025-11-06,0,0,,
2025-11-07,0,0,,
2025-11-08,0,0,,
2025-11-09,0,0,,
2025-11-10,0,0,,
2025-11-11,0,0,,
2025-11-12,0,0,,
2025-11-13,0,0,,
2025-11-14,0,1,0%,4
2025-11-15,0,0,,
2025-11-16,0,0,,
2025-11-17,0,2,0%,5.5
2025-11-18,0,0,,
2025-11-19,0,0,,
2025-11-20,0,0,,
2025-11-21,0,0,,
2025-11-22,0,0,,
2025-11-23,0,0,,
2025-11-24,0,0,,
2025-11-25,0,0,,
2025-11-26,0,2,0%,4
2025-11-27,0,0,,
2025-11-28,0,0,,
2025-11-29,0,3,0%,4
2025-11-30,0,1,0%,4
2025-12-01,0,1,0%,4
2025-12-02,0,1,0%,9
2025-12-03,0,4,0%,5.5
2025-12-04,0,1,0%,11
2025-12-05,1,5,20%,7.2
2025-12-06,0,2,0%,9.5
2025-12-07,0,6,0%,7
2025-12-08,0,10,0%,8.2
2025-12-09,0,15,0%,6.5
2025-12-10,1,13,7.69%,6.7
2025-12-11,0,12,0%,6.9
2025-12-12,0,11,0%,11.4
2025-12-13,0,10,0%,6.3